outer_fold,linear,tree,run,games,accuracy,roc_auc,log_loss,confidence_55_games,confidence_55_wins,confidence_55_accuracy,confidence_55_lcb,confidence_60_games,confidence_60_wins,confidence_60_accuracy,confidence_60_lcb,score,folds,fold_60_std,worst_fold_60_lcb,robust_score,eligible,guardrails
1,0.1,0.8,0.09999999999999998,368,0.5760869565217391,0.5698071059860537,0.6768271558284299,165,102,0.6181818181818182,0.5421606295799133,32,24,0.75,0.5789310822975338,3.0086790507045267,2,0.0,0.30063605244263664,3.3093151031471635,False,True
1,0.15000000000000002,0.05,0.7999999999999999,368,0.5597826086956522,0.5600567512904882,0.7213425947562065,309,172,0.5566343042071198,0.500884139216492,228,128,0.5614035087719298,0.49650301066185093,2.622601210038931,2,0.007697044334975367,0.4612486640178568,3.068455785386837,False,False
1,0.15000000000000002,0.1,0.75,368,0.5543478260869565,0.5604793672834848,0.7141654460879557,301,167,0.5548172757475083,0.49833132938102204,223,125,0.5605381165919282,0.49491585537467037,2.614175037064549,2,0.005913113435237316,0.46138519294934005,3.0637340031434146,False,False
1,0.15000000000000002,0.15000000000000002,0.7,368,0.5543478260869565,0.5611434781296224,0.7078129188657912,290,162,0.5586206896551724,0.501073240714745,215,123,0.5720930232558139,0.5052612782405712,2.6597683785601496,2,0.004677754677754664,0.47466952682168206,3.1250823960263228,False,False
1,0.15000000000000002,0.2,0.6499999999999999,368,0.5516304347826086,0.5616566546925469,0.7021990166079938,282,158,0.5602836879432624,0.5019259701385718,203,117,0.5763546798029556,0.5075800685699732,2.6706295244611513,2,0.0005827505827505353,0.4773648481449718,3.146828871440622,False,False
1,0.15000000000000002,0.25,0.6,368,0.5489130434782609,0.5625018866785402,0.6972565497464617,278,158,0.5683453237410072,0.5095796183590787,196,113,0.576530612244898,0.5065365942895911,2.674807860267365,2,0.0023449713392392213,0.47684837141099295,3.1469662889998795,False,False
1,0.15000000000000002,0.30000000000000004,0.5499999999999999,368,0.5516304347826086,0.5628641289582516,0.692932031662248,273,157,0.575091575091575,0.5158089312359471,185,106,0.572972972972973,0.5009220625233591,2.6600961006409314,2,0.009293897591769962,0.46302723174527716,3.1045355372026684,False,False
1,0.15000000000000002,0.35000000000000003,0.49999999999999994,368,0.5516304347826086,0.5632867449512482,0.6891823369247766,265,152,0.5735849056603773,0.5134056256118162,163,93,0.5705521472392638,0.4937985274432798,2.630075378441876,2,0.006184012066364986,0.45361787664577374,3.07132523095492,False,False
1,0.15000000000000002,0.4,0.44999999999999996,368,0.5597826086956522,0.5643734717903824,0.6859724179804753,259,150,0.5791505791505791,0.5182971286861219,144,87,0.6041666666666666,0.5225833437386467,2.7527045833208583,2,0.009845559845559848,0.4807563154549811,3.21376977908472,False,False
1,0.15000000000000002,0.45,0.39999999999999997,368,0.5597826086956522,0.5649168352099496,0.6832736946152042,252,146,0.5793650793650794,0.5176694421162438,137,83,0.6058394160583942,0.5221948964164917,2.7512258611612848,2,0.005970149253731349,0.48293583076211255,3.2222213934159343,False,False
1,0.15000000000000002,0.5,0.35,368,0.5788043478260869,0.5661243094756543,0.681062891000172,240,140,0.5833333333333334,0.5201258721069923,118,71,0.6016949152542372,0.5115024783603882,2.7155213697564244,2,0.02217741935483869,0.45665361737846166,3.1278201484252084,False,False
1,0.15000000000000002,0.55,0.29999999999999993,368,0.5815217391304348,0.5679657077308541,0.679321182263893,220,132,0.6,0.534082088214768,95,59,0.6210526315789474,0.5205920587802135,2.767280147028187,2,0.014260249554367221,0.4708491122516505,3.209608760171103,False,True
1,0.15000000000000002,0.6000000000000001,0.2499999999999999,368,0.595108695652174,0.5687807528602047,0.6780335627132633,205,123,0.6,0.5316914569850032,78,47,0.6025641025641025,0.4916165517837074,2.6522069165656763,2,0.0023255813953488302,0.4357241958151947,3.0832799495901733,False,True
1,0.15000000000000002,0.65,0.19999999999999996,368,0.5815217391304348,0.5698976665559816,0.6771883781967041,187,116,0.6203208556149733,0.549001138251079,61,37,0.6065573770491803,0.4811702438560874,2.6255180858289693,2,0.019144144144144115,0.3883433764938864,2.975573174034568,False,True
